OrderID,OrderDate,DeliveryDate,OrderType,Status,CustomerName,ProductName,Quantity,UnitPrice,TotalAmount,ShippingAddress,City,Region
1001,2025-01-15,2025-01-18,Standard,Completed,Tech Solutions Inc,Laptop Pro 15,5,1200.00,6000.00,123 Main St,New York,Northeast
1002,2025-01-16,2025-01-20,Express,Completed,Global Retail Co,Wireless Mouse,25,35.00,875.00,456 Oak Ave,Los Angeles,West
1003,2025-01-17,2025-01-22,Standard,In Transit,Smart Homes Ltd,Smart Thermostat,10,150.00,1500.00,789 Elm Rd,Chicago,Midwest
1004,2025-01-18,2025-01-19,Express,Completed,Office Supplies Plus,USB-C Cable,100,12.00,1200.00,321 Pine St,Houston,South
1005,2025-01-19,2025-01-23,Standard,Pending,Digital Workspace,Monitor 27inch,8,350.00,2800.00,654 Maple Dr,Phoenix,West
1006,2025-01-20,2025-01-24,Standard,Completed,Tech Solutions Inc,Keyboard Mechanical,15,120.00,1800.00,123 Main St,New York,Northeast
1007,2025-01-21,2025-01-25,Standard,In Transit,Mobile Connect,Phone Case,50,20.00,1000.00,987 Cedar Ln,Philadelphia,Northeast
1008,2025-01-22,2025-01-23,Express,Completed,Global Retail Co,Tablet 10inch,12,400.00,4800.00,456 Oak Ave,Los Angeles,West
1009,2025-01-23,2025-01-27,Standard,Pending,Enterprise Systems,Docking Station,6,200.00,1200.00,147 Birch St,San Antonio,South
1010,2025-01-24,2025-01-28,Standard,Completed,Smart Homes Ltd,Security Camera,20,80.00,1600.00,789 Elm Rd,Chicago,Midwest
1016,2025-01-16,2025-01-19,Express,Completed,Tech Solutions Inc,USB Hub 7-Port,12,65.00,780.00,123 Main St,New York,Northeast
1017,2025-01-16,2025-01-21,Standard,In Transit,Enterprise Systems,Network Switch,4,450.00,1800.00,147 Birch St,San Antonio,South
1018,2025-01-16,2025-01-20,Standard,Completed,Smart Homes Ltd,Smart Light Bulb,40,25.00,1000.00,789 Elm Rd,Chicago,Midwest
1019,2025-01-17,2025-01-21,Standard,Completed,Digital Workspace,Ergonomic Chair,6,280.00,1680.00,654 Maple Dr,Phoenix,West
1020,2025-01-17,2025-01-18,Express,Completed,Mobile Connect,Bluetooth Speaker,18,75.00,1350.00,987 Cedar Ln,Philadelphia,Northeast
1021,2025-01-17,2025-01-22,Standard,In Transit,Office Supplies Plus,Paper Shredder,8,95.00,760.00,321 Pine St,Houston,South
1022,2025-01-18,2025-01-23,Standard,Pending,Global Retail Co,Desk Lamp LED,22,45.00,990.00,456 Oak Ave,Los Angeles,West
1023,2025-01-18,2025-01-22,Standard,In Transit,Tech Solutions Inc,Router WiFi 6,9,180.00,1620.00,123 Main St,New York,Northeast
1024,2025-01-18,2025-01-19,Express,Completed,Smart Homes Ltd,Door Sensor,35,30.00,1050.00,789 Elm Rd,Chicago,Midwest
1025,2025-01-18,2025-01-23,Standard,Pending,Enterprise Systems,Cable Organizer,50,8.00,400.00,147 Birch St,San Antonio,South
1026,2025-01-19,2025-01-24,Standard,In Transit,Mobile Connect,Phone Stand,45,18.00,810.00,987 Cedar Ln,Philadelphia,Northeast
1027,2025-01-19,2025-01-23,Standard,Pending,Office Supplies Plus,Stapler Heavy Duty,15,22.00,330.00,321 Pine St,Houston,South
1028,2025-01-19,2025-01-20,Express,Completed,Global Retail Co,Power Bank 20000mAh,20,55.00,1100.00,456 Oak Ave,Los Angeles,West
1029,2025-01-19,2025-01-24,Standard,In Transit,Tech Solutions Inc,Laptop Stand,14,85.00,1190.00,123 Main St,New York,Northeast
